"","X","startTime","duration","app","url","endTime","date","category"
"1",1,2023-01-08 13:12:00,1.758,"Google Chrome",NA,2023-01-08 13:12:00,2023-01-08,"studia"
"2",2,2023-01-08 13:12:00,6.504,"Microsoft Excel",NA,2023-01-08 13:12:00,2023-01-08,"studia"
"3",3,2023-01-08 13:12:00,1.395,"Finder",NA,2023-01-08 13:12:00,2023-01-08,"inne"
"4",4,2023-01-08 13:12:00,1.1,"Microsoft Excel",NA,2023-01-08 13:12:00,2023-01-08,"studia"
"5",5,2023-01-08 13:12:00,1.903,"Microsoft Excel",NA,2023-01-08 13:12:00,2023-01-08,"studia"
"6",6,2023-01-08 13:12:00,0.051,"Microsoft Excel",NA,2023-01-08 13:12:00,2023-01-08,"studia"
"7",7,2023-01-08 13:12:00,3.641,"Microsoft Excel",NA,2023-01-08 13:12:00,2023-01-08,"studia"
"8",8,2023-01-08 13:12:00,1.024,"Microsoft Excel",NA,2023-01-08 13:12:00,2023-01-08,"studia"
"9",9,2023-01-08 13:12:00,7,"Finder",NA,2023-01-08 13:12:00,2023-01-08,"inne"
"10",10,2023-01-08 13:12:00,7.306,"RStudio",NA,2023-01-08 13:12:00,2023-01-08,"studia"
"11",11,2023-01-08 13:10:00,71.671,"Discord",NA,2023-01-08 13:12:00,2023-01-08,"inne"
"12",12,2023-01-08 13:10:00,5.16,"Finder",NA,2023-01-08 13:10:00,2023-01-08,"inne"
"13",13,2023-01-08 13:09:00,51.165,"Finder",NA,2023-01-08 13:10:00,2023-01-08,"inne"
"14",14,2023-01-08 13:09:00,3.882,"Finder",NA,2023-01-08 13:09:00,2023-01-08,"inne"
"15",15,2023-01-08 13:08:00,58.992,"RStudio",NA,2023-01-08 13:09:00,2023-01-08,"studia"
"16",16,2023-01-08 13:08:00,6.353,"RStudio",NA,2023-01-08 13:08:00,2023-01-08,"studia"
"17",17,2023-01-08 13:08:00,5.688,"RStudio",NA,2023-01-08 13:08:00,2023-01-08,"studia"
"18",18,2023-01-08 13:08:00,14.455,"Finder",NA,2023-01-08 13:08:00,2023-01-08,"inne"
"19",19,2023-01-08 13:08:00,3.329,"Finder",NA,2023-01-08 13:08:00,2023-01-08,"inne"
"20",20,2023-01-08 13:07:00,39.724,"RStudio",NA,2023-01-08 13:08:00,2023-01-08,"studia"
"21",21,2023-01-08 13:07:00,1.235,"Discord",NA,2023-01-08 13:07:00,2023-01-08,"inne"
"22",22,2023-01-08 13:06:00,71.542,"RStudio",NA,2023-01-08 13:07:00,2023-01-08,"studia"
"23",23,2023-01-08 13:06:00,5.48,"Discord",NA,2023-01-08 13:06:00,2023-01-08,"inne"
"24",24,2023-01-08 13:05:00,68.623,"RStudio",NA,2023-01-08 13:06:00,2023-01-08,"studia"
"25",25,2023-01-08 13:04:00,22.625,"GitHub Desktop",NA,2023-01-08 13:05:00,2023-01-08,"studia"
"26",26,2023-01-08 13:04:00,7.645,"Discord",NA,2023-01-08 13:04:00,2023-01-08,"inne"
"27",27,2023-01-08 13:04:00,48.253,"RStudio",NA,2023-01-08 13:04:00,2023-01-08,"studia"
"28",28,2023-01-08 12:59:00,240.787,"Discord",NA,2023-01-08 13:03:00,2023-01-08,"inne"
"29",29,2023-01-08 12:57:00,157.016,"RStudio",NA,2023-01-08 12:59:00,2023-01-08,"studia"
"30",30,2023-01-08 12:56:00,69.861,"Discord",NA,2023-01-08 12:57:00,2023-01-08,"inne"
"31",31,2023-01-08 12:56:00,4.112,"RStudio",NA,2023-01-08 12:56:00,2023-01-08,"studia"
"32",32,2023-01-08 12:53:00,128.483,"Discord",NA,2023-01-08 12:56:00,2023-01-08,"inne"
"33",33,2023-01-08 12:53:00,50.468,"RStudio",NA,2023-01-08 12:53:00,2023-01-08,"studia"
"34",34,2023-01-08 12:51:00,113.056,"Discord",NA,2023-01-08 12:53:00,2023-01-08,"inne"
"35",35,2023-01-08 12:51:00,0.984,"RStudio",NA,2023-01-08 12:51:00,2023-01-08,"studia"
"36",36,2023-01-08 12:50:00,47.648,"Google Chrome",NA,2023-01-08 12:51:00,2023-01-08,"studia"
"37",37,2023-01-08 12:48:00,117.012,"Discord",NA,2023-01-08 12:50:00,2023-01-08,"inne"
"38",38,2023-01-08 12:48:00,4.099,"RStudio",NA,2023-01-08 12:48:00,2023-01-08,"studia"
"39",39,2023-01-08 12:47:00,78.651,"Discord",NA,2023-01-08 12:48:00,2023-01-08,"inne"
"40",40,2023-01-08 12:45:00,108.431,"RStudio",NA,2023-01-08 12:47:00,2023-01-08,"studia"
"41",41,2023-01-08 12:42:00,157.248,"Discord",NA,2023-01-08 12:45:00,2023-01-08,"inne"
"42",42,2023-01-08 12:42:00,16.704,"RStudio",NA,2023-01-08 12:42:00,2023-01-08,"studia"
"43",43,2023-01-08 12:42:00,3.193,"Code",NA,2023-01-08 12:42:00,2023-01-08,"inne"
"44",44,2023-01-08 12:41:00,41.088,"RStudio",NA,2023-01-08 12:42:00,2023-01-08,"studia"
"45",45,2023-01-08 12:41:00,6.927,"Discord",NA,2023-01-08 12:41:00,2023-01-08,"inne"
"46",46,2023-01-08 12:39:00,114.596,"RStudio",NA,2023-01-08 12:41:00,2023-01-08,"studia"
"47",47,2023-01-08 12:39:00,11.873,"Discord",NA,2023-01-08 12:39:00,2023-01-08,"inne"
"48",48,2023-01-08 12:39:00,18.959,"RStudio",NA,2023-01-08 12:39:00,2023-01-08,"studia"
"49",49,2023-01-08 12:39:00,2.436,"PyCharm",NA,2023-01-08 12:39:00,2023-01-08,"studia"
"50",50,2023-01-08 12:39:00,0.397,"PyCharm",NA,2023-01-08 12:39:00,2023-01-08,"studia"
"51",51,2023-01-08 12:39:00,1.74,"PyCharm",NA,2023-01-08 12:39:00,2023-01-08,"studia"
"52",52,2023-01-08 12:39:00,0.37,"PyCharm",NA,2023-01-08 12:39:00,2023-01-08,"studia"
"53",53,2023-01-08 12:34:00,248.649,"RStudio",NA,2023-01-08 12:39:00,2023-01-08,"studia"
"54",54,2023-01-08 12:34:00,1.864,"Finder",NA,2023-01-08 12:34:00,2023-01-08,"inne"
"55",55,2023-01-08 12:34:00,3.233,"Finder",NA,2023-01-08 12:34:00,2023-01-08,"inne"
"56",56,2023-01-08 12:34:00,33.577,"RStudio",NA,2023-01-08 12:34:00,2023-01-08,"studia"
"57",57,2023-01-08 12:34:00,10.857,"Finder",NA,2023-01-08 12:34:00,2023-01-08,"inne"
