"","startTime","duration","app","endTime","date","category"
"1",2023-01-22 15:10:37,1.1,"chrome",2023-01-22 15:10:39,2023-01-22,"studies"
"2",2023-01-22 15:10:24,12.147,"Messenger",2023-01-22 15:10:37,2023-01-22,"free time"
"3",2023-01-22 15:10:20,2.215,"chrome",2023-01-22 15:10:23,2023-01-22,"studies"
"4",2023-01-22 15:10:08,11.108,"chrome",2023-01-22 15:10:20,2023-01-22,"studies"
"5",2023-01-22 15:09:58,8.855,"chrome",2023-01-22 15:10:07,2023-01-22,"studies"
"6",2023-01-22 15:09:43,13.442,"chrome",2023-01-22 15:09:57,2023-01-22,"studies"
"7",2023-01-22 15:09:35,7.716,"chrome",2023-01-22 15:09:43,2023-01-22,"studies"
"8",2023-01-22 15:09:18,15.48,"chrome",2023-01-22 15:09:34,2023-01-22,"studies"
"9",2023-01-22 15:08:47,30.022,"chrome",2023-01-22 15:09:18,2023-01-22,"studies"
"10",2023-01-22 15:08:22,24.263,"chrome",2023-01-22 15:08:47,2023-01-22,"studies"
"11",2023-01-22 15:08:18,2.208,"chrome",2023-01-22 15:08:21,2023-01-22,"studies"
"12",2023-01-22 15:08:16,1.106,"chrome",2023-01-22 15:08:18,2023-01-22,"studies"
"13",2023-01-22 15:08:09,5.53,"chrome",2023-01-22 15:08:15,2023-01-22,"studies"
"14",2023-01-22 15:08:06,2.213,"chrome",2023-01-22 15:08:09,2023-01-22,"studies"
"15",2023-01-22 15:08:00,5.466,"explorer",2023-01-22 15:08:06,2023-01-22,"other"
"16",2023-01-22 15:07:57,1.137,"rstudio",2023-01-22 15:07:59,2023-01-22,"studies"
"17",2023-01-22 15:07:54,2.207,"GitHubDesktop",2023-01-22 15:07:57,2023-01-22,"studies"
"18",2023-01-22 15:07:51,2.247,"rstudio",2023-01-22 15:07:54,2023-01-22,"studies"
"19",2023-01-22 15:07:40,9.943,"chrome",2023-01-22 15:07:50,2023-01-22,"studies"
