"","artistName","category","trackName","energy","startTime","energy_level","genre","duration"
"1","ABBA","studia","Gimme! Gimme! Gimme! (A Man After Midnight)",0.491,2022-12-28 20:00:19,"medium","europop",30
"2","Agar Agar","inne","Prettiest Virgin",0.487,2022-12-29 16:49:46,"medium","electro-pop francais",8
"3","Agar Agar","studia","Prettiest Virgin",0.487,2022-12-29 16:49:46,"medium","electro-pop francais",317
"4","Albo Inaczej","studia","Ostatnia Prosta",0.535,2022-12-29 18:32:22,"medium","polish alternative",231
"5","alt-J","studia","Breezeblocks",0.658,2022-12-29 15:52:12,"medium","indie rock",227
"6","Andy Williams","inne","It's the Most Wonderful Time of the Year",0.598,2022-12-27 13:08:28,"medium","adult standards",27
"7","Andy Williams","studia","Happy Holiday / The Holiday Season",0.451,2022-12-18 20:05:23,"medium","adult standards",110
"8","Andy Williams","studia","It's the Most Wonderful Time of the Year",0.598,2022-12-27 13:08:28,"medium","adult standards",99
"9","Arab","inne","Leśna piosenka",0.686,2022-12-19 21:50:58,"fast","polish alternative rap",1
"10","Arab","inne","Leśna piosenka",0.686,2022-12-21 15:27:28,"fast","polish alternative rap",17
"11","Arab","inne","Pianista ze szlugiem",0.511,2022-12-21 15:02:03,"medium","polish alternative rap",2
"12","Arab","studia","Ballada",0.375,2022-12-21 16:31:21,"medium","polish alternative rap",147
"13","Arab","studia","Leśna piosenka",0.686,2022-12-21 15:27:28,"fast","polish alternative rap",251
"14","Arab","studia","Letnia piosenka",0.29,2022-12-21 15:59:37,"slow","polish alternative rap",100
"15","Arab","studia","Momenty (prod. Louis Villain)",0.514,2022-12-21 15:43:11,"medium","polish alternative rap",174
"16","Arab","studia","Pianista ze szlugiem",0.511,2022-12-21 15:02:03,"medium","polish alternative rap",280
"17","Arab","studia","Sorrow",0.812,2022-12-21 14:51:29,"fast","polish alternative rap",132
"18","Arab","wolne","Letnia piosenka",0.29,2022-12-21 15:59:37,"slow","polish alternative rap",83
"19","asthma","inne","centrala",0.772,2022-12-27 18:34:45,"fast","polish alternative rap",63
"20","asthma","inne","charakterystyka bloku",0.515,2022-12-26 22:37:28,"medium","polish alternative rap",63
"21","asthma","inne","charakterystyka bloku",0.515,2022-12-27 14:58:28,"medium","polish alternative rap",55
"22","asthma","inne","charakterystyka bloku",0.515,2022-12-27 19:37:28,"medium","polish alternative rap",2
"23","asthma","studia","centrala",0.772,2022-12-26 23:28:45,"fast","polish alternative rap",139
"24","asthma","studia","centrala",0.772,2022-12-27 18:34:45,"fast","polish alternative rap",64
"25","asthma","studia","charakterystyka bloku",0.515,2022-12-26 22:37:28,"medium","polish alternative rap",123
"26","asthma","studia","charakterystyka bloku",0.515,2022-12-27 14:58:28,"medium","polish alternative rap",132
"27","asthma","studia","charakterystyka bloku",0.515,2022-12-27 17:07:13,"medium","polish alternative rap",46
"28","asthma","studia","charakterystyka bloku",0.515,2022-12-27 19:37:28,"medium","polish alternative rap",115
"29","asthma","wolne","charakterystyka bloku",0.515,2022-12-27 14:58:28,"medium","polish alternative rap",4
"30","asthma","wolne","charakterystyka bloku",0.515,2022-12-27 19:37:28,"medium","polish alternative rap",25
"31","Avi","inne","Módl się za nami",0.701,2022-12-18 16:10:29,"fast","polish hip hop",3
"32","Avi","wolne","Módl się za nami",0.701,2022-12-18 16:06:29,"fast","polish hip hop",119
"33","Avi","wolne","Módl się za nami",0.701,2022-12-18 16:10:29,"fast","polish hip hop",123
