"","startTime","duration","app","endTime","date","category"
"1",2022-12-22 00:38:02,5.304,"chrome",2022-12-22 00:38:07,2022-12-22,"studia"
"2",2022-12-22 00:37:36,24.589,"chrome",2022-12-22 00:38:00,2022-12-22,"studia"
"3",2022-12-22 00:37:09,26.483,"chrome",2022-12-22 00:37:35,2022-12-22,"studia"
"4",2022-12-22 00:36:54,13.697,"chrome",2022-12-22 00:37:07,2022-12-22,"studia"
"5",2022-12-22 00:36:12,41.502,"chrome",2022-12-22 00:36:53,2022-12-22,"studia"
"6",2022-12-22 00:36:11,0,"chrome",2022-12-22 00:36:11,2022-12-22,"studia"
"7",2022-12-22 00:35:56,13.848,"chrome",2022-12-22 00:36:09,2022-12-22,"studia"
"8",2022-12-22 00:35:50,4.262,"chrome",2022-12-22 00:35:54,2022-12-22,"studia"
"9",2022-12-22 00:35:48,1.046,"chrome",2022-12-22 00:35:49,2022-12-22,"studia"
"10",2022-12-22 00:35:44,3.156,"chrome",2022-12-22 00:35:47,2022-12-22,"studia"
"11",2022-12-22 00:35:39,4.26,"chrome",2022-12-22 00:35:43,2022-12-22,"studia"
"12",2022-12-22 00:35:33,4.268,"chrome",2022-12-22 00:35:37,2022-12-22,"studia"
"13",2022-12-22 00:35:32,0,"chrome",2022-12-22 00:35:32,2022-12-22,"studia"
"14",2022-12-22 00:35:31,0,"chrome",2022-12-22 00:35:31,2022-12-22,"studia"
"15",2022-12-22 00:35:27,3.215,"chrome",2022-12-22 00:35:30,2022-12-22,"studia"
"16",2022-12-22 00:34:56,29.936,"chrome",2022-12-22 00:35:25,2022-12-22,"studia"
"17",2022-12-22 00:34:55,0,"chrome",2022-12-22 00:34:55,2022-12-22,"studia"
"18",2022-12-22 00:34:54,0,"unknown",2022-12-22 00:34:54,2022-12-22,"inne"
"19",2022-12-22 00:34:48,5.306,"chrome",2022-12-22 00:34:53,2022-12-22,"studia"
"20",2022-12-22 00:34:44,2.087,"explorer",2022-12-22 00:34:46,2022-12-22,"inne"
"21",2022-12-22 00:34:41,2.169,"Messenger",2022-12-22 00:34:43,2022-12-22,"wolne"
"22",2022-12-22 00:34:40,0,"Discord",2022-12-22 00:34:40,2022-12-22,"inne"
"23",2022-12-22 00:34:39,0,"Spotify",2022-12-22 00:34:39,2022-12-22,"wolne"
"24",2022-12-22 00:34:38,0,"chrome",2022-12-22 00:34:38,2022-12-22,"studia"
"25",2022-12-22 00:34:35,2.099,"chrome",2022-12-22 00:34:37,2022-12-22,"studia"
"26",2022-12-22 00:34:33,1.046,"chrome",2022-12-22 00:34:34,2022-12-22,"studia"
"27",2022-12-22 00:34:29,3.179,"chrome",2022-12-22 00:34:32,2022-12-22,"studia"
"28",2022-12-22 00:34:21,6.402,"chrome",2022-12-22 00:34:27,2022-12-22,"studia"
"29",2022-12-22 00:33:26,53.874,"chrome",2022-12-22 00:34:19,2022-12-22,"studia"
"30",2022-12-22 00:33:21,4.345,"chrome",2022-12-22 00:33:25,2022-12-22,"studia"
"31",2022-12-22 00:33:19,1.048,"ShellExperienceHost",2022-12-22 00:33:20,2022-12-22,"inne"
"32",2022-12-22 00:33:18,0,"unknown",2022-12-22 00:33:18,2022-12-22,"inne"
"33",2022-12-22 00:33:17,0,"chrome",2022-12-22 00:33:17,2022-12-22,"studia"
"34",2022-12-22 00:33:15,0,"unknown",2022-12-22 00:33:15,2022-12-22,"inne"
